p_cons,method,male,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,age_at_first_arrest,partnered,slevel,rs_fta,rs_grecid,rs_vrecid,ds_fta,ds_grecid,ds_vrecid,fta_text,grecid_text,vrecid_text
0.0,linreg,-,+,-,-,-,-,+,+,target,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,pearson,+,-,+,+,+,+,-,-,target,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,manual,+,-,+,+,+,+,-,-,target,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,linreg,-,-,-,-,-,-,+,-,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,pearson,+,+,+,+,+,+,-,-,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,manual,+,+,+,+,+,+,-,-,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,linreg,+,-,-,-,-,-,+,+,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,pearson,+,-,+,+,+,+,-,-,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,manual,+,-,+,+,+,+,-,-,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,linreg,+,-,+,+,+,+,-,-,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A
0.0,pearson,+,-,+,+,+,+,-,-,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A
0.0,manual,+,-,+,+,+,+,-,-,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A
0.01,linreg,-,-,-,+,-,+,-,+,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A
0.01,pearson,+,+,+,+,+,+,-,-,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A
0.01,manual,+,+,+,+,+,+,-,-,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A
0.03,linreg,+,-,+,+,+,+,+,-,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A
0.01,pearson,+,-,+,+,+,+,-,-,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A
0.01,manual,+,-,+,+,+,+,-,-,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A
0.05,linreg,+,-,-,-,-,+,+,+,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A
0.02,pearson,+,-,+,+,+,+,-,-,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A
0.02,manual,+,-,+,+,+,+,-,-,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A
0.03,linreg,+,-,-,-,+,+,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A
0.07,pearson,+,+,+,+,+,+,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A
0.07,manual,+,+,+,+,+,+,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A
0.03,linreg,+,+,-,-,+,+,-,+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A
0.03,pearson,+,-,+,+,+,+,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A
0.03,manual,+,-,+,+,+,+,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A
0.03,linreg,-,-,+,+,-,-,-,+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target
0.07,pearson,+,-,+,+,+,+,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target
0.07,manual,+,-,+,+,+,+,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target
0.82,linreg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,-,+,+,N/A,N/A,N/A,N/A,N/A,N/A
0.84,pearson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,+,+,+,N/A,N/A,N/A,N/A,N/A,N/A
0.84,manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,+,+,+,N/A,N/A,N/A,N/A,N/A,N/A
0.0,linreg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,+,-,-,N/A,N/A,N/A
1.0,pearson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,+,+,+,N/A,N/A,N/A
1.0,manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,+,+,+,N/A,N/A,N/A
0.0,linreg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A,+,+,-
0.72,pearson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A,+,+,+
0.72,manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,target,N/A,N/A,N/A,N/A,N/A,N/A,+,+,+
